Writing output from calling the Triangle Fixing Algorithm
Lambda = 0.5, gamma = 5.0, Etol = 0.1, TriTol = 0.1 
Iteration 1, E changed by 24.666, T-map: 0.2, Obj: 545.907, Last TriCheck = 0.5222710126317773
Iteration 2, E changed by 11.151, T-map: 0.2, Obj: 492.512, Last TriCheck = 0.5222710126317773
Iteration 3, E changed by 110.661, T-map: 0.2, Obj: 3478.582, Last TriCheck = 0.5222710126317773
Iteration 4, E changed by 108.024, T-map: 0.2, Obj: 718.002, Last TriCheck = 0.5222710126317773
Iteration 5, E changed by 11.741, T-map: 0.2, Obj: 586.942, Last TriCheck = 0.5222710126317773
Iteration 6, E changed by 3.84, T-map: 0.2, Obj: 590.102, Last TriCheck = 0.5222710126317773
Iteration 7, E changed by 6.829, T-map: 0.2, Obj: 454.837, Last TriCheck = 0.5222710126317773
Iteration 8, E changed by 6.603, T-map: 0.2, Obj: 569.352, Last TriCheck = 0.5222710126317773
Iteration 9, E changed by 3.629, T-map: 0.2, Obj: 546.126, Last TriCheck = 0.5222710126317773
Iteration 10, E changed by 1.635, T-map: 0.2, Obj: 540.161, Last TriCheck = 0.5222710126317773
Iteration 11, E changed by 2.5, T-map: 0.2, Obj: 516.129, Last TriCheck = 0.5222710126317773
Iteration 12, E changed by 1.969, T-map: 0.2, Obj: 538.886, Last TriCheck = 0.5222710126317773
Iteration 13, E changed by 1.457, T-map: 0.2, Obj: 544.192, Last TriCheck = 0.5222710126317773
Iteration 14, E changed by 0.873, T-map: 0.2, Obj: 538.511, Last TriCheck = 0.5222710126317773
Iteration 15, E changed by 1.26, T-map: 0.2, Obj: 513.627, Last TriCheck = 0.5222710126317773
Iteration 16, E changed by 1.341, T-map: 0.2, Obj: 529.727, Last TriCheck = 0.5222710126317773
Iteration 17, E changed by 1.119, T-map: 0.2, Obj: 536.77, Last TriCheck = 0.5222710126317773
Iteration 18, E changed by 0.643, T-map: 0.2, Obj: 534.179, Last TriCheck = 0.5222710126317773
Iteration 19, E changed by 0.99, T-map: 0.2, Obj: 514.738, Last TriCheck = 0.5222710126317773
Iteration 20, E changed by 1.085, T-map: 0.2, Obj: 528.379, Last TriCheck = 0.5222710126317773
Iteration 21, E changed by 0.918, T-map: 0.2, Obj: 534.609, Last TriCheck = 0.0977915240101952
Iteration 22, E changed by 0.563, T-map: 0.2, Obj: 533.704, Last TriCheck = 0.0977915240101952
Iteration 23, E changed by 0.834, T-map: 0.2, Obj: 518.886, Last TriCheck = 0.0977915240101952
Iteration 24, E changed by 0.913, T-map: 0.2, Obj: 529.627, Last TriCheck = 0.0977915240101952
Iteration 25, E changed by 0.803, T-map: 0.2, Obj: 534.104, Last TriCheck = 0.0977915240101952
Iteration 26, E changed by 0.529, T-map: 0.2, Obj: 534.587, Last TriCheck = 0.0977915240101952
Iteration 27, E changed by 0.723, T-map: 0.2, Obj: 524.309, Last TriCheck = 0.0977915240101952
Iteration 28, E changed by 0.754, T-map: 0.2, Obj: 531.867, Last TriCheck = 0.0977915240101952
Iteration 29, E changed by 0.711, T-map: 0.2, Obj: 533.17, Last TriCheck = 0.0977915240101952
Iteration 30, E changed by 0.543, T-map: 0.2, Obj: 535.433, Last TriCheck = 0.0977915240101952
Iteration 31, E changed by 0.647, T-map: 0.2, Obj: 529.757, Last TriCheck = 0.0977915240101952
Iteration 32, E changed by 0.604, T-map: 0.2, Obj: 534.417, Last TriCheck = 0.0977915240101952
Iteration 33, E changed by 0.611, T-map: 0.2, Obj: 532.473, Last TriCheck = 0.0977915240101952
Iteration 34, E changed by 0.536, T-map: 0.2, Obj: 535.875, Last TriCheck = 0.0977915240101952
Iteration 35, E changed by 0.569, T-map: 0.2, Obj: 533.618, Last TriCheck = 0.0977915240101952
Iteration 36, E changed by 0.494, T-map: 0.2, Obj: 536.499, Last TriCheck = 0.0977915240101952
Iteration 37, E changed by 0.543, T-map: 0.2, Obj: 532.15, Last TriCheck = 0.0977915240101952
Iteration 38, E changed by 0.542, T-map: 0.2, Obj: 536.402, Last TriCheck = 0.0977915240101952
Iteration 39, E changed by 0.536, T-map: 0.2, Obj: 536.718, Last TriCheck = 0.0977915240101952
Iteration 40, E changed by 0.423, T-map: 0.2, Obj: 538.334, Last TriCheck = 0.0977915240101952
Iteration 41, E changed by 0.519, T-map: 0.2, Obj: 532.024, Last TriCheck = 0.06331206634050185
Iteration 42, E changed by 0.564, T-map: 0.2, Obj: 536.963, Last TriCheck = 0.06331206634050185
Iteration 43, E changed by 0.54, T-map: 0.2, Obj: 539.163, Last TriCheck = 0.06331206634050185
Iteration 44, E changed by 0.385, T-map: 0.2, Obj: 539.928, Last TriCheck = 0.06331206634050185
Iteration 45, E changed by 0.519, T-map: 0.2, Obj: 532.483, Last TriCheck = 0.06331206634050185
Iteration 46, E changed by 0.572, T-map: 0.2, Obj: 537.686, Last TriCheck = 0.06331206634050185
Iteration 47, E changed by 0.543, T-map: 0.2, Obj: 540.741, Last TriCheck = 0.06331206634050185
Iteration 48, E changed by 0.365, T-map: 0.2, Obj: 541.133, Last TriCheck = 0.06331206634050185
Iteration 49, E changed by 0.51, T-map: 0.2, Obj: 533.691, Last TriCheck = 0.06331206634050185
Iteration 50, E changed by 0.551, T-map: 0.2, Obj: 538.594, Last TriCheck = 0.06331206634050185
Iteration 51, E changed by 0.523, T-map: 0.2, Obj: 541.535, Last TriCheck = 0.06331206634050185
Iteration 52, E changed by 0.351, T-map: 0.2, Obj: 541.957, Last TriCheck = 0.06331206634050185
Iteration 53, E changed by 0.48, T-map: 0.2, Obj: 535.38, Last TriCheck = 0.06331206634050185
Iteration 54, E changed by 0.507, T-map: 0.2, Obj: 539.613, Last TriCheck = 0.06331206634050185
Iteration 55, E changed by 0.485, T-map: 0.2, Obj: 541.788, Last TriCheck = 0.06331206634050185
Iteration 56, E changed by 0.341, T-map: 0.2, Obj: 542.475, Last TriCheck = 0.06331206634050185
Iteration 57, E changed by 0.441, T-map: 0.2, Obj: 537.231, Last TriCheck = 0.06331206634050185
Iteration 58, E changed by 0.452, T-map: 0.2, Obj: 540.669, Last TriCheck = 0.06331206634050185
Iteration 59, E changed by 0.442, T-map: 0.2, Obj: 541.741, Last TriCheck = 0.06331206634050185
Iteration 60, E changed by 0.335, T-map: 0.2, Obj: 542.803, Last TriCheck = 0.06331206634050185
Iteration 61, E changed by 0.403, T-map: 0.2, Obj: 538.974, Last TriCheck = 0.05358939820139841
Iteration 62, E changed by 0.4, T-map: 0.2, Obj: 541.684, Last TriCheck = 0.05358939820139841
Iteration 63, E changed by 0.399, T-map: 0.2, Obj: 541.666, Last TriCheck = 0.05358939820139841
Iteration 64, E changed by 0.329, T-map: 0.2, Obj: 543.078, Last TriCheck = 0.05358939820139841
Iteration 65, E changed by 0.368, T-map: 0.2, Obj: 540.521, Last TriCheck = 0.05358939820139841
Iteration 66, E changed by 0.354, T-map: 0.2, Obj: 542.614, Last TriCheck = 0.05358939820139841
Iteration 67, E changed by 0.363, T-map: 0.2, Obj: 541.607, Last TriCheck = 0.05358939820139841
Iteration 68, E changed by 0.328, T-map: 0.2, Obj: 543.329, Last TriCheck = 0.05358939820139841
Iteration 69, E changed by 0.346, T-map: 0.2, Obj: 541.905, Last TriCheck = 0.05358939820139841
Iteration 70, E changed by 0.317, T-map: 0.2, Obj: 543.481, Last TriCheck = 0.05358939820139841
Iteration 71, E changed by 0.341, T-map: 0.2, Obj: 541.53, Last TriCheck = 0.05358939820139841
Iteration 72, E changed by 0.334, T-map: 0.2, Obj: 543.549, Last TriCheck = 0.05358939820139841
Iteration 73, E changed by 0.34, T-map: 0.2, Obj: 543.112, Last TriCheck = 0.05358939820139841
Iteration 74, E changed by 0.291, T-map: 0.2, Obj: 544.277, Last TriCheck = 0.05358939820139841
Iteration 75, E changed by 0.333, T-map: 0.2, Obj: 541.636, Last TriCheck = 0.05358939820139841
Iteration 76, E changed by 0.339, T-map: 0.2, Obj: 543.821, Last TriCheck = 0.05358939820139841
Iteration 77, E changed by 0.339, T-map: 0.2, Obj: 543.941, Last TriCheck = 0.05358939820139841
Iteration 78, E changed by 0.276, T-map: 0.2, Obj: 544.898, Last TriCheck = 0.05358939820139841
Iteration 79, E changed by 0.327, T-map: 0.2, Obj: 541.999, Last TriCheck = 0.05358939820139841
Iteration 80, E changed by 0.335, T-map: 0.2, Obj: 544.187, Last TriCheck = 0.05358939820139841
Iteration 81, E changed by 0.334, T-map: 0.2, Obj: 544.521, Last TriCheck = 0.04620225521609467
Iteration 82, E changed by 0.266, T-map: 0.2, Obj: 545.386, Last TriCheck = 0.04620225521609467
Iteration 83, E changed by 0.318, T-map: 0.2, Obj: 542.499, Last TriCheck = 0.04620225521609467
Iteration 84, E changed by 0.325, T-map: 0.2, Obj: 544.601, Last TriCheck = 0.04620225521609467
Iteration 85, E changed by 0.324, T-map: 0.2, Obj: 544.946, Last TriCheck = 0.04620225521609467
Iteration 86, E changed by 0.257, T-map: 0.2, Obj: 545.793, Last TriCheck = 0.04620225521609467
Iteration 87, E changed by 0.305, T-map: 0.2, Obj: 543.107, Last TriCheck = 0.04620225521609467
Iteration 88, E changed by 0.309, T-map: 0.2, Obj: 545.047, Last TriCheck = 0.04620225521609467
Iteration 89, E changed by 0.309, T-map: 0.2, Obj: 545.211, Last TriCheck = 0.04620225521609467
Iteration 90, E changed by 0.251, T-map: 0.2, Obj: 546.111, Last TriCheck = 0.04620225521609467
Iteration 91, E changed by 0.29, T-map: 0.2, Obj: 543.812, Last TriCheck = 0.04620225521609467
Iteration 92, E changed by 0.29, T-map: 0.2, Obj: 545.526, Last TriCheck = 0.04620225521609467
Iteration 93, E changed by 0.293, T-map: 0.2, Obj: 545.344, Last TriCheck = 0.04620225521609467
Iteration 94, E changed by 0.248, T-map: 0.2, Obj: 546.354, Last TriCheck = 0.04620225521609467
Iteration 95, E changed by 0.276, T-map: 0.2, Obj: 544.564, Last TriCheck = 0.04620225521609467
Iteration 96, E changed by 0.269, T-map: 0.2, Obj: 546.028, Last TriCheck = 0.04620225521609467
Iteration 97, E changed by 0.275, T-map: 0.2, Obj: 545.432, Last TriCheck = 0.04620225521609467
Iteration 98, E changed by 0.245, T-map: 0.2, Obj: 546.558, Last TriCheck = 0.04620225521609467
Iteration 99, E changed by 0.262, T-map: 0.2, Obj: 545.257, Last TriCheck = 0.04620225521609467
Iteration 100, E changed by 0.249, T-map: 0.2, Obj: 546.498, Last TriCheck = 0.04620225521609467
Iteration 101, E changed by 0.259, T-map: 0.2, Obj: 545.54, Last TriCheck = 0.038395498546614504
Iteration 102, E changed by 0.242, T-map: 0.2, Obj: 546.756, Last TriCheck = 0.038395498546614504
Iteration 103, E changed by 0.252, T-map: 0.2, Obj: 545.872, Last TriCheck = 0.038395498546614504
Iteration 104, E changed by 0.233, T-map: 0.2, Obj: 546.93, Last TriCheck = 0.038395498546614504
Iteration 105, E changed by 0.247, T-map: 0.2, Obj: 545.645, Last TriCheck = 0.038395498546614504
Iteration 106, E changed by 0.242, T-map: 0.2, Obj: 546.946, Last TriCheck = 0.038395498546614504
Iteration 107, E changed by 0.245, T-map: 0.2, Obj: 546.469, Last TriCheck = 0.038395498546614504
Iteration 108, E changed by 0.218, T-map: 0.2, Obj: 547.348, Last TriCheck = 0.038395498546614504
Iteration 109, E changed by 0.238, T-map: 0.2, Obj: 545.724, Last TriCheck = 0.038395498546614504
Iteration 110, E changed by 0.243, T-map: 0.2, Obj: 547.118, Last TriCheck = 0.038395498546614504
Iteration 111, E changed by 0.242, T-map: 0.2, Obj: 547.007, Last TriCheck = 0.038395498546614504
Iteration 112, E changed by 0.206, T-map: 0.2, Obj: 547.738, Last TriCheck = 0.038395498546614504
Iteration 113, E changed by 0.234, T-map: 0.2, Obj: 545.838, Last TriCheck = 0.038395498546614504
Iteration 114, E changed by 0.244, T-map: 0.2, Obj: 547.292, Last TriCheck = 0.038395498546614504
