Writing output from calling the Triangle Fixing Algorithm
Lambda = 0.9, gamma = 50.0, Etol = 0.25, TriTol = 0.01 
Iteration 1, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 2, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 3, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 4, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 5, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 6, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 7, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 8, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 9, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 10, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 11, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 12, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 13, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 14, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 15, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 16, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 17, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 18, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 19, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 20, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000107
Iteration 21, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 22, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 23, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 24, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 25, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 26, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 27, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 28, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 29, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 30, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 31, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 32, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 33, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 34, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 35, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 36, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 37, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 38, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 39, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 40, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 41, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 42, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 43, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 44, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 45, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 46, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 47, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 48, E changed by 0.0, 3Loop: 0.4, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 49, E changed by 0.0, 3Loop: 0.5, Obj: 0.0, Last TriCheck = 1.0000000000000142
Iteration 50, E changed by 21.007, 3Loop: 0.4, Obj: 44.512, Last TriCheck = 1.0000000000000142
Iteration 51, E changed by 17.005, 3Loop: 0.4, Obj: 85.499, Last TriCheck = 1.0000000000000142
Iteration 52, E changed by 12.354, 3Loop: 0.5, Obj: 114.71, Last TriCheck = 1.0000000000000142
Iteration 53, E changed by 9.783, 3Loop: 0.4, Obj: 135.254, Last TriCheck = 1.0000000000000142
Iteration 54, E changed by 7.141, 3Loop: 0.5, Obj: 147.92, Last TriCheck = 1.0000000000000142
Iteration 55, E changed by 6.441, 3Loop: 0.4, Obj: 156.997, Last TriCheck = 1.0000000000000142
Iteration 56, E changed by 5.875, 3Loop: 0.5, Obj: 163.782, Last TriCheck = 1.0000000000000142
Iteration 57, E changed by 5.062, 3Loop: 0.4, Obj: 168.739, Last TriCheck = 1.0000000000000142
Iteration 58, E changed by 4.496, 3Loop: 0.5, Obj: 172.35, Last TriCheck = 1.0000000000000142
Iteration 59, E changed by 4.312, 3Loop: 0.5, Obj: 175.414, Last TriCheck = 1.0000000000000142
Iteration 60, E changed by 4.301, 3Loop: 0.5, Obj: 178.319, Last TriCheck = 1.0000000000000142
Iteration 61, E changed by 4.221, 3Loop: 0.5, Obj: 181.178, Last TriCheck = 1.0000000000000142
Iteration 62, E changed by 4.084, 3Loop: 0.4, Obj: 183.854, Last TriCheck = 1.0000000000000142
Iteration 63, E changed by 3.671, 3Loop: 0.5, Obj: 186.118, Last TriCheck = 1.0000000000000142
Iteration 64, E changed by 3.701, 3Loop: 0.4, Obj: 188.203, Last TriCheck = 1.0000000000000142
Iteration 65, E changed by 3.479, 3Loop: 0.4, Obj: 190.004, Last TriCheck = 1.0000000000000142
Iteration 66, E changed by 3.363, 3Loop: 0.4, Obj: 191.59, Last TriCheck = 1.0000000000000142
Iteration 67, E changed by 3.576, 3Loop: 0.5, Obj: 193.476, Last TriCheck = 1.0000000000000142
Iteration 68, E changed by 3.429, 3Loop: 0.5, Obj: 195.284, Last TriCheck = 1.0000000000000142
Iteration 69, E changed by 3.31, 3Loop: 0.5, Obj: 196.971, Last TriCheck = 1.0000000000000142
Iteration 70, E changed by 3.235, 3Loop: 0.7, Obj: 198.617, Last TriCheck = 1.0000000000000142
Iteration 71, E changed by 3.32, 3Loop: 0.6, Obj: 200.347, Last TriCheck = 1.0000000000000142
Iteration 72, E changed by 3.104, 3Loop: 0.4, Obj: 201.754, Last TriCheck = 1.0000000000000142
Iteration 73, E changed by 2.939, 3Loop: 0.5, Obj: 202.957, Last TriCheck = 1.0000000000000142
Iteration 74, E changed by 2.945, 3Loop: 0.4, Obj: 204.193, Last TriCheck = 1.0000000000000142
Iteration 75, E changed by 3.043, 3Loop: 0.5, Obj: 205.527, Last TriCheck = 1.0000000000000142
Iteration 76, E changed by 2.922, 3Loop: 0.6, Obj: 206.795, Last TriCheck = 1.0000000000000142
Iteration 77, E changed by 2.94, 3Loop: 0.5, Obj: 208.009, Last TriCheck = 1.0000000000000142
Iteration 78, E changed by 2.711, 3Loop: 0.4, Obj: 209.045, Last TriCheck = 1.0000000000000142
Iteration 79, E changed by 3.035, 3Loop: 0.4, Obj: 210.373, Last TriCheck = 1.0000000000000142
Iteration 80, E changed by 2.882, 3Loop: 0.4, Obj: 211.519, Last TriCheck = 1.0000000000000142
Iteration 81, E changed by 3.238, 3Loop: 0.4, Obj: 212.997, Last TriCheck = 1.0000000000000036
Iteration 82, E changed by 3.081, 3Loop: 0.4, Obj: 214.392, Last TriCheck = 1.0000000000000036
Iteration 83, E changed by 2.75, 3Loop: 0.4, Obj: 215.375, Last TriCheck = 1.0000000000000036
Iteration 84, E changed by 2.619, 3Loop: 0.4, Obj: 216.027, Last TriCheck = 1.0000000000000036
Iteration 85, E changed by 2.884, 3Loop: 0.4, Obj: 216.907, Last TriCheck = 1.0000000000000036
Iteration 86, E changed by 2.782, 3Loop: 0.4, Obj: 217.891, Last TriCheck = 1.0000000000000036
Iteration 87, E changed by 2.877, 3Loop: 0.4, Obj: 218.865, Last TriCheck = 1.0000000000000036
Iteration 88, E changed by 2.984, 3Loop: 0.4, Obj: 220.024, Last TriCheck = 1.0000000000000036
Iteration 89, E changed by 2.947, 3Loop: 0.4, Obj: 221.115, Last TriCheck = 1.0000000000000036
Iteration 90, E changed by 3.022, 3Loop: 0.4, Obj: 222.194, Last TriCheck = 1.0000000000000036
Iteration 91, E changed by 2.708, 3Loop: 0.4, Obj: 222.811, Last TriCheck = 1.0000000000000036
Iteration 92, E changed by 2.754, 3Loop: 0.4, Obj: 223.369, Last TriCheck = 1.0000000000000036
Iteration 93, E changed by 2.702, 3Loop: 0.4, Obj: 223.949, Last TriCheck = 1.0000000000000036
Iteration 94, E changed by 2.707, 3Loop: 0.4, Obj: 224.459, Last TriCheck = 1.0000000000000036
Iteration 95, E changed by 2.716, 3Loop: 0.5, Obj: 225.022, Last TriCheck = 1.0000000000000036
Iteration 96, E changed by 2.647, 3Loop: 0.4, Obj: 225.496, Last TriCheck = 1.0000000000000036
Iteration 97, E changed by 2.613, 3Loop: 0.5, Obj: 225.982, Last TriCheck = 1.0000000000000036
Iteration 98, E changed by 2.506, 3Loop: 0.4, Obj: 226.412, Last TriCheck = 1.0000000000000036
Iteration 99, E changed by 2.53, 3Loop: 0.5, Obj: 226.785, Last TriCheck = 1.0000000000000036
Iteration 100, E changed by 2.678, 3Loop: 0.5, Obj: 227.177, Last TriCheck = 1.0000000000000036
Iteration 101, E changed by 2.181, 3Loop: 0.5, Obj: 227.066, Last TriCheck = 1.0000000000000036
Iteration 102, E changed by 2.216, 3Loop: 0.5, Obj: 226.962, Last TriCheck = 1.0000000000000036
Iteration 103, E changed by 1.987, 3Loop: 0.4, Obj: 226.723, Last TriCheck = 1.0000000000000036
Iteration 104, E changed by 2.223, 3Loop: 0.5, Obj: 226.71, Last TriCheck = 1.0000000000000036
Iteration 105, E changed by 2.151, 3Loop: 0.4, Obj: 226.628, Last TriCheck = 1.0000000000000036
Iteration 106, E changed by 1.707, 3Loop: 0.5, Obj: 226.296, Last TriCheck = 1.0000000000000036
Iteration 107, E changed by 1.914, 3Loop: 0.5, Obj: 226.052, Last TriCheck = 1.0000000000000036
Iteration 108, E changed by 1.884, 3Loop: 0.5, Obj: 225.942, Last TriCheck = 1.0000000000000036
Iteration 109, E changed by 1.693, 3Loop: 0.5, Obj: 225.845, Last TriCheck = 1.0000000000000036
Iteration 110, E changed by 1.772, 3Loop: 0.5, Obj: 225.759, Last TriCheck = 1.0000000000000036
Iteration 111, E changed by 1.687, 3Loop: 0.5, Obj: 225.62, Last TriCheck = 1.0000000000000036
Iteration 112, E changed by 1.653, 3Loop: 0.5, Obj: 225.525, Last TriCheck = 1.0000000000000036
Iteration 113, E changed by 1.531, 3Loop: 0.4, Obj: 225.446, Last TriCheck = 1.0000000000000036
Iteration 114, E changed by 1.539, 3Loop: 0.5, Obj: 225.413, Last TriCheck = 1.0000000000000036
Iteration 115, E changed by 1.373, 3Loop: 0.5, Obj: 225.289, Last TriCheck = 1.0000000000000036
Iteration 116, E changed by 1.422, 3Loop: 0.5, Obj: 225.162, Last TriCheck = 1.0000000000000036
